dataSeq,일자,수압계
1,2026-05-17 00:00:04,3.532
2,2026-05-17 00:00:14,3.5
3,2026-05-17 00:00:24,3.516
4,2026-05-17 00:00:34,3.762
5,2026-05-17 00:00:44,3.836
6,2026-05-17 00:00:54,3.762
7,2026-05-17 00:01:04,3.762
8,2026-05-17 00:01:14,3.885
9,2026-05-17 00:01:24,4.016
10,2026-05-17 00:01:34,3.442
11,2026-05-17 00:01:44,3.401
12,2026-05-17 00:01:54,3.385
13,2026-05-17 00:02:04,3.377
14,2026-05-17 00:02:14,3.368
15,2026-05-17 00:02:24,3.344
16,2026-05-17 00:02:34,3.327
17,2026-05-17 00:02:44,3.336
18,2026-05-17 00:02:54,3.311
19,2026-05-17 00:03:04,3.27
20,2026-05-17 00:03:14,3.262
21,2026-05-17 00:03:24,3.245
22,2026-05-17 00:03:34,3.229
23,2026-05-17 00:03:44,3.196
24,2026-05-17 00:03:54,3.196
25,2026-05-17 00:04:04,3.196
26,2026-05-17 00:04:14,3.172
27,2026-05-17 00:04:24,3.147
28,2026-05-17 00:04:34,3.147
29,2026-05-17 00:04:44,3.803
30,2026-05-17 00:04:54,4.901
31,2026-05-17 00:05:04,4.868
32,2026-05-17 00:05:14,4.844
33,2026-05-17 00:05:24,4.827
34,2026-05-17 00:05:34,4.803
35,2026-05-17 00:05:44,4.803
36,2026-05-17 00:05:54,4.786
37,2026-05-17 00:06:04,4.77
38,2026-05-17 00:06:14,4.762
39,2026-05-17 00:06:24,4.754
40,2026-05-17 00:06:34,4.737
41,2026-05-17 00:06:44,4.721
42,2026-05-17 00:06:54,4.696
43,2026-05-17 00:07:04,4.704
44,2026-05-17 00:07:14,4.696
45,2026-05-17 00:07:24,4.68
46,2026-05-17 00:07:34,4.672
47,2026-05-17 00:07:44,4.655
48,2026-05-17 00:07:54,4.655
49,2026-05-17 00:08:04,4.639
50,2026-05-17 00:08:14,4.631
51,2026-05-17 00:08:24,4.631
52,2026-05-17 00:08:34,4.614
53,2026-05-17 00:08:44,4.614
54,2026-05-17 00:08:54,4.598
55,2026-05-17 00:09:04,4.598
56,2026-05-17 00:09:14,4.581
57,2026-05-17 00:09:24,4.573
58,2026-05-17 00:09:34,4.557
59,2026-05-17 00:09:44,4.549
60,2026-05-17 00:09:54,4.532
61,2026-05-17 00:10:04,4.54
62,2026-05-17 00:10:14,4.475
63,2026-05-17 00:10:24,4.467
64,2026-05-17 00:10:34,4.45
65,2026-05-17 00:10:44,4.442
66,2026-05-17 00:10:54,4.426
67,2026-05-17 00:11:04,4.426
68,2026-05-17 00:11:14,4.426
69,2026-05-17 00:11:24,4.401
70,2026-05-17 00:11:34,4.401
71,2026-05-17 00:11:44,4.393
72,2026-05-17 00:11:54,4.377
73,2026-05-17 00:12:04,4.385
74,2026-05-17 00:12:14,4.368
75,2026-05-17 00:12:24,4.36
76,2026-05-17 00:12:34,4.344
77,2026-05-17 00:12:44,4.344
78,2026-05-17 00:12:54,4.327
79,2026-05-17 00:13:04,4.319
80,2026-05-17 00:13:14,4.319
81,2026-05-17 00:13:24,4.327
82,2026-05-17 00:13:34,4.319
83,2026-05-17 00:13:44,4.303
84,2026-05-17 00:13:54,4.295
85,2026-05-17 00:14:04,4.286
86,2026-05-17 00:14:14,4.286
87,2026-05-17 00:14:24,4.319
88,2026-05-17 00:14:34,4.295
89,2026-05-17 00:14:44,4.467
90,2026-05-17 00:14:54,4.77
91,2026-05-17 00:15:04,4.885
92,2026-05-17 00:15:14,4.385
93,2026-05-17 00:15:24,4.213
94,2026-05-17 00:15:34,4.204
95,2026-05-17 00:15:44,4.196
96,2026-05-17 00:15:54,4.229
97,2026-05-17 00:16:04,4.483
98,2026-05-17 00:16:14,4.18
99,2026-05-17 00:16:24,4.172
100,2026-05-17 00:16:34,4.172
101,2026-05-17 00:16:44,4.147
102,2026-05-17 00:16:54,4.139
103,2026-05-17 00:17:04,4.131
104,2026-05-17 00:17:14,4.131
105,2026-05-17 00:17:24,4.131
106,2026-05-17 00:17:34,4.114
107,2026-05-17 00:17:44,4.114
108,2026-05-17 00:17:54,4.081
109,2026-05-17 00:18:04,4.081
110,2026-05-17 00:18:14,4.065
111,2026-05-17 00:18:24,4.049
112,2026-05-17 00:18:34,4.049
113,2026-05-17 00:18:44,4.04
114,2026-05-17 00:18:54,4.032
115,2026-05-17 00:19:04,3.999
116,2026-05-17 00:19:14,4.008
117,2026-05-17 00:19:24,3.983
118,2026-05-17 00:19:34,3.983
119,2026-05-17 00:19:44,3.967
120,2026-05-17 00:19:54,3.942
121,2026-05-17 00:20:04,3.934
122,2026-05-17 00:20:14,3.95
123,2026-05-17 00:20:24,3.942
124,2026-05-17 00:20:34,3.942
125,2026-05-17 00:20:44,3.885
126,2026-05-17 00:20:54,3.811
127,2026-05-17 00:21:04,3.819
128,2026-05-17 00:21:14,3.909
129,2026-05-17 00:21:24,3.819
130,2026-05-17 00:21:34,3.811
131,2026-05-17 00:21:44,3.803
132,2026-05-17 00:21:54,4.008
133,2026-05-17 00:22:04,3.918
134,2026-05-17 00:22:14,3.909
135,2026-05-17 00:22:24,3.877
136,2026-05-17 00:22:34,3.999
137,2026-05-17 00:22:44,3.991
138,2026-05-17 00:22:54,3.967
139,2026-05-17 00:23:04,3.942
140,2026-05-17 00:23:14,3.934
141,2026-05-17 00:23:24,3.901
142,2026-05-17 00:23:34,3.877
143,2026-05-17 00:23:44,3.885
144,2026-05-17 00:23:54,4.032
145,2026-05-17 00:24:04,3.885
146,2026-05-17 00:24:14,3.868
147,2026-05-17 00:24:24,3.844
148,2026-05-17 00:24:34,3.852
149,2026-05-17 00:24:44,3.868
150,2026-05-17 00:24:54,3.819
151,2026-05-17 00:25:04,3.762
152,2026-05-17 00:25:14,4.147
153,2026-05-17 00:25:24,3.86
154,2026-05-17 00:25:34,3.852
155,2026-05-17 00:25:44,3.827
156,2026-05-17 00:25:54,4.245
157,2026-05-17 00:26:04,4.639
158,2026-05-17 00:26:14,4.639
159,2026-05-17 00:26:24,4.614
160,2026-05-17 00:26:34,4.606
161,2026-05-17 00:26:44,4.59
162,2026-05-17 00:26:54,4.565
163,2026-05-17 00:27:04,4.549
164,2026-05-17 00:27:14,4.54
165,2026-05-17 00:27:24,4.54
166,2026-05-17 00:27:34,4.524
167,2026-05-17 00:27:44,4.516
168,2026-05-17 00:27:54,4.508
169,2026-05-17 00:28:04,4.491
170,2026-05-17 00:28:14,4.475
171,2026-05-17 00:28:24,4.475
172,2026-05-17 00:28:34,4.459
173,2026-05-17 00:28:44,4.459
174,2026-05-17 00:28:54,4.442
175,2026-05-17 00:29:04,4.418
176,2026-05-17 00:29:14,4.393
177,2026-05-17 00:29:24,4.377
178,2026-05-17 00:29:34,4.368
179,2026-05-17 00:29:44,4.352
180,2026-05-17 00:29:54,4.336
181,2026-05-17 00:30:04,4.311
182,2026-05-17 00:30:14,4.303
183,2026-05-17 00:30:24,4.295
184,2026-05-17 00:30:34,4.278
185,2026-05-17 00:30:44,4.254
186,2026-05-17 00:30:54,4.245
187,2026-05-17 00:31:04,4.172
188,2026-05-17 00:31:14,4.196
189,2026-05-17 00:31:24,4.131
190,2026-05-17 00:31:34,4.09
191,2026-05-17 00:31:44,4.508
192,2026-05-17 00:31:54,4.418
193,2026-05-17 00:32:04,5.066
194,2026-05-17 00:32:14,5.074
195,2026-05-17 00:32:24,4.754
196,2026-05-17 00:32:34,4.434
197,2026-05-17 00:32:44,4.36
198,2026-05-17 00:32:54,4.311
199,2026-05-17 00:33:04,4.295
200,2026-05-17 00:33:14,4.286
201,2026-05-17 00:33:24,4.278
202,2026-05-17 00:33:34,4.262
203,2026-05-17 00:33:44,4.204
204,2026-05-17 00:33:54,4.172
205,2026-05-17 00:34:04,4.147
206,2026-05-17 00:34:14,4.131
207,2026-05-17 00:34:24,4.122
208,2026-05-17 00:34:34,4.106
209,2026-05-17 00:34:44,3.967
210,2026-05-17 00:34:54,3.918
211,2026-05-17 00:35:04,3.909
212,2026-05-17 00:35:14,3.95
213,2026-05-17 00:35:24,4.229
214,2026-05-17 00:35:34,4.106
215,2026-05-17 00:35:34,4.106
216,2026-05-17 00:35:44,3.934
217,2026-05-17 00:35:54,3.606
218,2026-05-17 00:36:04,3.426
219,2026-05-17 00:36:14,3.639
220,2026-05-17 00:36:24,4.237
221,2026-05-17 00:36:34,3.918
222,2026-05-17 00:36:44,4.106
223,2026-05-17 00:36:54,3.991
224,2026-05-17 00:37:04,4.303
225,2026-05-17 00:37:14,4.188
226,2026-05-17 00:37:24,4.122
227,2026-05-17 00:37:34,4.04
228,2026-05-17 00:37:44,4.032
229,2026-05-17 00:37:54,4.016
230,2026-05-17 00:38:04,3.909
231,2026-05-17 00:38:14,4.016
232,2026-05-17 00:38:24,3.918
233,2026-05-17 00:38:34,4.008
234,2026-05-17 00:38:44,3.745
235,2026-05-17 00:38:54,4.04
236,2026-05-17 00:39:04,4.016
237,2026-05-17 00:39:14,3.999
238,2026-05-17 00:39:24,4.344
239,2026-05-17 00:39:34,4.18
240,2026-05-17 00:39:44,4.024
241,2026-05-17 00:39:54,4.016
242,2026-05-17 00:40:04,3.991
243,2026-05-17 00:40:14,3.95
244,2026-05-17 00:40:24,4.188
245,2026-05-17 00:40:34,4.016
246,2026-05-17 00:40:44,4.008
247,2026-05-17 00:40:54,3.999
248,2026-05-17 00:41:04,3.967
249,2026-05-17 00:41:14,4.057
250,2026-05-17 00:41:24,4.221
251,2026-05-17 00:41:34,4.114
252,2026-05-17 00:41:44,4.549
253,2026-05-17 00:41:54,4.459
254,2026-05-17 00:42:04,3.795
255,2026-05-17 00:42:14,4.081
256,2026-05-17 00:42:24,4.245
257,2026-05-17 00:42:34,4.188
258,2026-05-17 00:42:44,3.934
259,2026-05-17 00:42:54,3.918
260,2026-05-17 00:43:04,3.827
261,2026-05-17 00:43:14,3.844
262,2026-05-17 00:43:24,3.991
263,2026-05-17 00:43:34,3.803
264,2026-05-17 00:43:44,3.795
